prediction;test_price
29.3;30.95
29.36;31.26
29.41;30.9
29.71;30.44
29.76;29.66
29.8;30.08
29.69;29.82
29.47;29.75
29.23;29.57
29.34;29.65
29.42;29.86
29.4;29.68
29.36;30.3
29.28;30.2
29.47;30.37
29.51;30.91
29.62;30.96
29.62;30.88
29.54;31.27
29.6;31.21
29.75;31.24
30.08;31.12
30.11;30.67
29.97;31.01
29.98;31.06
29.96;31.32
30.14;31.76
30.16;32.21
30.08;32.17
30.26;32.7
30.56;32.36
30.78;32.27
31.05;32.34
31.26;32.5
31.25;33.17
31.48;33.32
31.62;33.19
31.85;33.01
32.05;33.13
32.09;32.18
32.26;33.81
32.11;33.36
32.09;33.07
32.3;33.34
32.3;33.66
32.2;33.15
32.49;33.09
32.4;32.35
32.38;33.02
32.43;32.87
32.32;32.62
32.3;32.7
32.4;33.25
32.11;33.44
32.23;33.67
32.48;33.64
32.33;33.43
32.39;33.11
32.39;33.27
32.49;33.19
32.6;33.62
32.54;33.72
32.34;33.46
32.42;33.51
32.45;33.55
32.61;33.56
32.52;33.8
32.51;34.36
32.73;34.14
32.79;33.94
32.74;33.83
32.79;34.05
32.81;33.94
32.96;33.96
33.0;34.24
33.04;35.3
33.16;36.18
33.31;35.9
33.72;35.72
34.15;35.77
34.25;35.67
34.32;35.47
34.41;35.55
34.37;35.58
34.38;35.67
34.51;35.39
34.66;35.47
34.7;35.98
34.66;36.16
34.56;36.09
34.8;35.71
35.06;35.73
35.01;35.18
34.85;35.19
34.78;36.11
34.79;36.66
34.88;36.67
35.03;36.86
35.17;37.07
35.42;37.29
35.72;39.26
35.92;39.22
36.32;39.31
36.81;39.15
36.89;39.02
36.94;39.57
37.33;39.57
37.58;39.44
37.84;38.62
38.09;38.15
37.92;38.41
37.78;38.89
37.8;39.6
37.67;38.93
38.0;39.2
38.22;39.9
38.08;39.43
38.11;38.95
38.25;39.12
38.46;39.04
38.61;38.45
38.8;38.87
38.48;38.25
38.15;37.68
38.03;36.76
37.98;36.91
37.74;37.33
37.35;37.87
36.78;37.52
36.45;38.25
36.62;38.81
36.73;38.91
36.9;38.5
37.08;38.88
36.94;39.25
37.19;39.02
37.53;38.8
37.69;38.6
37.66;38.42
37.6;38.27
37.53;38.07
37.35;37.81
37.34;37.93
37.01;37.69
36.7;37.76
36.75;37.14
36.92;37.59
36.59;37.3
36.45;37.44
36.45;38.07
36.52;38.27
36.67;37.97
36.87;38.33
37.0;38.55
37.22;38.95
37.33;39.02
37.25;39.18
37.36;39.0
37.58;38.59
37.51;38.65
37.42;38.99
37.53;39.02
37.46;39.76
37.47;37.59
37.69;37.65
37.56;37.59
37.22;37.06
37.12;37.13
37.02;37.5
36.76;37.47
36.69;37.58
36.72;37.27
36.52;37.21
36.65;37.24
36.78;37.11
36.5;37.59
36.62;37.69
36.61;36.58
36.28;36.27
36.25;35.66
36.13;35.67
35.9;35.63
35.54;35.52
35.07;35.65
34.8;34.86
34.78;34.74
34.58;34.94
34.48;34.76
34.05;34.42
33.94;34.44
33.84;34.62
33.48;35.11
33.68;34.69
33.79;34.24
33.74;34.03
33.79;34.47
33.54;34.33
33.41;34.72
33.26;35.35
33.17;35.96
33.44;36.19
33.79;35.83
33.9;35.98
34.02;36.14
33.97;35.51
34.1;35.45
34.47;35.82
34.45;35.84
34.39;35.56
34.4;35.09
34.51;35.8
34.54;35.64
34.48;36.89
34.48;36.81
34.84;36.73
35.07;36.68
35.22;35.78
35.33;35.67
35.39;34.97
35.24;34.81
34.94;33.47
34.81;33.89
34.51;32.01
34.24;31.85
33.71;29.91
33.02;31.42
32.26;28.56
31.9;29.08
30.91;29.96
30.11;30.47
29.82;30.26
29.96;30.21
29.72;29.47
29.75;28.84
29.52;28.99
29.03;29.07
28.86;29.44
28.83;28.98
28.45;29.34
28.26;30.02
28.35;30.41
27.8;30.84
28.07;30.22
28.22;29.39
28.36;28.76
28.22;29.54
28.1;28.93
27.74;28.11
27.9;28.33
27.83;28.48
27.8;29.24
27.62;29.83
27.74;29.8
28.28;29.44
28.37;29.26
28.69;28.32
28.77;26.76
28.3;27.01
27.5;27.44
27.32;28.21
27.5;27.6
27.52;27.75
27.33;27.31
27.19;26.26
27.12;27.04
27.02;28.53
26.97;29.0
26.73;28.7
26.67;29.88
26.93;29.53
27.39;30.57
27.69;30.38
28.04;31.21
28.62;30.23
28.89;30.73
28.88;30.43
29.25;30.64
29.25;31.84
29.25;32.03
29.54;31.25
29.84;31.74
29.67;32.85
29.88;32.79
30.42;31.58
30.97;30.42
31.31;30.85
31.2;31.72
30.73;31.47
30.48;31.83
31.03;31.95
31.09;30.6
31.26;31.36
31.43;33.23
31.31;32.7
31.05;33.0
31.35;32.17
31.62;31.83
31.81;32.26
31.58;31.08
31.11;30.8
31.22;30.24
31.15;30.34
30.92;30.85
30.68;30.79
30.18;32.46
30.06;32.59
30.6;33.15
30.84;33.45
31.07;33.35
31.14;33.59
31.15;32.52
31.57;33.1
32.03;33.18
32.38;32.9
32.07;32.37
31.71;32.4
31.9;32.52
32.0;31.99
31.86;33.3
31.81;33.39
31.7;34.02
31.58;34.71
31.87;34.63
32.24;34.29
32.7;34.72
32.89;34.52
33.05;35.27
33.55;35.77
33.74;36.37
34.11;36.74
34.55;36.6
34.64;36.49
35.08;35.63
35.09;35.66
34.82;35.35
34.7;35.43
34.72;35.92
34.65;36.31
34.6;36.19
34.97;36.14
35.07;36.14
35.15;36.42
35.26;36.23
35.53;36.14
35.51;35.9
35.6;35.81
35.62;36.21
35.38;35.82
35.37;36.83
35.34;37.25
35.29;37.73
35.58;38.0
35.99;38.23
36.11;38.16
36.41;38.47
36.51;38.3
36.61;37.98
36.71;38.24
36.67;38.44
36.63;38.27
36.95;38.0
37.23;38.19
37.21;38.03
37.24;38.34
37.2;38.6
37.16;38.66
37.24;39.03
37.32;39.0
37.43;39.31
37.74;38.67
37.84;38.44
37.85;38.69
37.84;38.89
38.01;38.98
38.08;40.52
38.05;40.03
38.32;40.02
38.48;39.76
38.57;39.99
38.58;39.81
38.64;39.84
38.5;39.86
38.66;40.19
38.75;40.86
38.68;40.65
38.97;40.06
39.25;39.6
39.11;40.31
39.09;40.36
39.27;39.86
39.18;39.52
39.13;39.66
38.97;38.77
38.95;37.74
38.76;38.09
38.37;38.81
37.92;38.53
37.85;38.35
37.99;39.29
38.1;39.12
37.85;38.74
37.81;38.99
37.95;38.68
37.87;38.83
37.74;39.31
37.56;39.92
37.76;39.91
38.06;39.69
38.18;40.32
38.24;40.09
38.43;40.33
38.39;39.52
38.44;40.34
38.4;40.79
38.47;41.45
38.85;41.69
39.1;41.95
39.11;41.59
39.45;41.44
39.97;41.5
40.12;40.81
40.15;40.33
40.27;40.87
40.11;40.87
40.0;40.7
40.03;40.91
39.94;40.97
39.77;41.87
39.93;41.61
40.29;42.08
40.39;40.88
40.52;40.89
40.29;41.28
40.37;41.92
40.35;42.01
40.39;42.57
40.43;42.17
40.69;42.7
40.94;42.56
41.09;43.44
41.26;43.35
41.4;43.36
41.42;43.74
41.63;43.94
41.76;43.64
41.71;43.7
41.97;42.99
42.29;43.55
42.35;44.07
42.34;44.03
42.49;44.65
42.53;44.85
42.79;44.73
43.15;44.29
43.44;44.23
43.15;44.19
43.09;43.6
43.2;43.52
43.12;43.65
43.23;44.37
43.19;44.06
42.98;45.43
43.09;45.43
43.37;45.1
43.61;44.73
43.71;44.17
43.64;44.34
43.64;44.47
43.46;45.77
43.39;45.98
43.69;45.85
43.81;45.24
43.99;44.95
44.23;45.09
44.12;45.82
44.23;45.71
44.32;45.86
44.16;46.48
44.19;46.0
44.33;45.71
44.54;45.9
44.47;45.75
44.7;45.93
44.82;46.26
44.71;46.46
44.82;46.45
45.08;45.7
45.07;45.72
45.04;45.27
45.13;45.63
44.53;45.69
44.4;45.69
44.53;46.07
44.72;45.5
44.89;45.54
44.81;45.72
44.62;46.76
44.41;47.75
44.65;47.63
45.08;47.43
45.43;47.47
45.72;47.6
45.87;48.43
45.91;48.2
46.23;48.01
46.39;47.78
46.34;48.52
46.38;48.48
46.74;48.56
46.86;48.72
46.92;48.37
47.07;47.82
47.11;48.41
46.91;48.13
46.87;47.94
47.05;47.54
47.13;48.31
47.26;48.45
47.17;48.77
46.98;48.18
47.17;47.42
47.45;47.15
47.42;46.35
47.14;46.58
46.7;46.76
46.17;47.17
45.9;48.14
46.13;48.26
46.25;47.78
46.36;47.68
46.39;46.73
46.31;46.63
46.29;46.27
46.19;46.11
45.78;45.22
45.41;45.83
44.99;45.9
45.01;46.33
44.97;46.47
44.82;46.11
44.87;46.07
44.93;43.33
44.81;43.69
44.33;44.15
43.83;43.43
43.36;43.7
43.17;43.66
42.81;44.11
42.73;44.6
42.81;44.82
42.89;45.35
43.35;45.14
43.46;44.74
43.18;45.3
43.37;45.78
43.09;45.72
43.15;45.38
43.63;45.39
43.72;45.66
43.87;45.86
43.93;46.03
43.92;46.09
44.09;46.25
44.48;46.4
44.5;45.91
44.46;45.5
44.16;46.07
44.17;46.95
44.47;46.68
44.74;47.61
45.32;46.74
45.49;46.63
45.47;46.6
45.7;46.3
45.82;45.95
45.84;46.54
45.36;47.77
45.18;47.87
45.71;48.79
45.86;47.65
46.12;47.45
46.48;47.47
46.38;47.48
46.36;47.28
46.45;47.29
46.2;47.76
46.21;48.17
46.5;48.99
46.58;48.93
46.65;49.29
47.0;50.43
47.19;50.43
47.76;50.83
48.24;50.82
48.48;50.47
48.61;50.28
48.87;50.37
49.09;51.03
48.94;50.39
49.18;50.75
49.21;50.97
49.54;50.82
49.79;51.1
49.79;51.18
49.62;51.37
49.61;51.38
49.82;51.3
49.8;51.98
50.05;52.1
50.28;51.04
50.51;50.64
50.74;50.71
50.57;50.1
50.34;50.39
50.13;50.93
49.89;51.03
49.82;51.72
49.9;52.16
49.93;52.8
50.01;52.69
50.32;52.65
50.5;53.65
50.91;53.9
51.24;53.39
51.53;53.6
51.79;53.98
51.78;53.83
52.19;53.12
52.43;52.64
52.21;53.23
52.0;52.64
51.91;53.08
51.94;52.54
51.91;52.94
51.57;52.79
51.56;53.1
51.6;52.99
51.68;53.71
51.85;53.52
52.05;53.83
52.25;53.94
52.62;54.98
52.71;55.28
52.88;56.19
53.12;56.6
53.6;56.6
54.13;55.04
54.22;56.79
54.12;56.72
54.49;56.08
54.78;57.55
54.62;57.97
54.87;58.51
55.37;57.9
55.75;57.96
55.9;57.84
56.48;58.89
56.46;58.74
56.7;59.09
57.27;59.71
57.16;60.57
57.49;60.82
58.41;61.76
58.73;61.69
59.22;62.32
59.66;62.82
60.02;62.93
60.59;63.07
61.23;63.26
61.27;62.14
61.37;62.24
61.63;61.81
61.54;61.54
61.26;61.29
61.0;60.98
61.26;61.22
61.02;62.34
60.8;61.94
60.78;60.43
60.87;58.97
60.57;59.64
60.0;60.15
59.82;59.0
59.72;59.02
59.43;60.62
59.05;59.67
59.12;59.64
59.26;58.88
58.96;60.11
58.53;59.64
58.49;60.28
58.44;61.03
58.67;60.14
58.52;57.94
58.1;58.64
58.1;58.37
58.02;58.49
57.58;59.09
57.22;59.57
57.08;59.03
57.6;59.76
57.69;59.14
57.58;59.46
57.63;59.66
57.47;60.49
57.68;60.71
58.06;60.68
58.14;62.24
58.62;62.61
59.48;61.63
59.67;60.79
60.16;61.1
60.06;61.53
59.59;60.91
59.71;60.2
60.03;60.25
59.96;60.43
59.3;60.34
59.1;60.74
59.33;60.4
59.02;60.0
59.06;60.43
59.48;61.1
59.53;62.17
59.55;61.72
59.76;62.68
59.92;61.61
60.46;61.46
60.79;60.51
60.49;59.76
60.21;59.81
59.98;59.79
59.91;58.31
59.49;58.12
58.61;57.8
57.92;57.85
57.53;57.15
57.34;57.62
56.86;57.7
56.74;57.35
56.49;56.73
56.2;56.84
56.3;57.1
56.22;56.86
56.01;56.96
55.89;57.13
55.96;57.3
55.72;57.39
55.76;57.57
55.85;58.73
55.98;59.77
55.94;61.22
56.13;62.34
56.76;62.58
57.47;62.61
58.37;62.73
59.04;61.43
59.55;60.77
59.97;60.53
59.74;60.13
59.48;60.25
59.55;60.99
59.47;60.94
59.56;60.28
59.54;60.6
59.44;60.65
59.52;59.85
59.54;61.04
59.24;60.38
59.51;59.83
59.79;59.44
59.52;61.3
59.39;61.89
59.77;62.47
60.1;62.11
60.51;62.02
60.98;62.09
60.88;62.77
60.7;63.2
60.95;64.5
60.9;63.68
61.01;64.55
61.44;64.74
61.74;64.5
61.91;64.43
62.52;64.01
62.95;64.12
63.03;64.51
63.09;64.32
62.83;64.36
62.83;64.5
62.98;62.77
63.44;64.11
63.18;63.88
62.76;63.35
62.85;64.47
62.94;65.45
63.0;65.44
63.71;64.97
63.97;64.61
63.58;64.72
63.69;65.38
63.75;65.62
63.87;65.19
64.39;66.54
64.04;66.16
64.14;65.94
64.74;66.29
64.49;65.34
64.55;65.41
64.48;65.65
64.29;66.8
64.32;66.47
64.74;66.9
64.64;65.92
64.89;65.89
65.12;65.88
65.03;66.73
64.82;66.87
64.91;68.33
65.45;69.05
65.88;68.51
66.37;69.35
66.65;69.89
66.81;70.62
67.42;70.36
67.95;72.14
68.32;72.3
69.02;72.18
69.58;72.03
69.89;71.75
70.35;72.24
70.7;71.18
70.35;70.88
70.52;71.34
70.45;69.34
70.29;70.45
70.09;70.29
70.04;70.23
69.77;70.01
69.57;70.22
69.37;71.27
